山海观雾提供 (更新时间：2024-11-22 14:29)

央视,#genre#
CCTV+ 1 (600p) [Not 24/7][质量:90],https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CCTV+ 1 (600p) [Not 24/7][质量:90],https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CCTV+ 2 (600p) [Not 24/7][质量:60],https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL2.smil/playlist.m3u8
CCTV+ 2 (600p) [Not 24/7][质量:60],https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL2.smil/playlist.m3u8

卫视,#genre#
延边卫视 (720p)[质量:100],http://live.ybtvyun.com/video/s10016-7e5f23de35df/index.m3u8

港澳台,#genre#
TVBS Asia (1080p)[质量:60],http://38.64.72.148/hls/modn/list/4005/playlist.m3u8

国际,#genre#
BBC News (720p)[质量:100],https://vs-cmaf-push-ww-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_news_channel_hd/iptv_hd_abr_v1.mpd
BBC News (North America) (1080p)[质量:90],https://d2vnbkvjbims7j.cloudfront.net/containerA/LTN/playlist.m3u8
BBC Arabic (720p)[质量:90],https://vs-cmaf-pushb-ww-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_arabic_tv/pc_hd_abr_v2.mpd
A2 CNN (720p)[质量:80],https://tv.a2news.com/live/smil:a2cnnweb.stream.smil/playlist.m3u8
Antena 3 CNN[质量:80],https://live3vox.antenaplay.ro/a3free/a3free.m3u8
NHK World Japan (1080p)[质量:80],https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index.m3u8
BBC News Asia Pacific (720p)[质量:60],https://cdn4.skygo.mn/live/disk1/BBC_News/HLSv3-FTA/BBC_News.m3u8
CNN News 18[质量:60],https://n18syndication.akamaized.net/bpk-tv/CNN_News18_NW18_MOB/output01/index.m3u8
NHK World Premium (720p) [Not 24/7][质量:60],https://cdn.nhkworld.jp/www11/nhkworld-tv/pre/hlscomp.m3u8
BBC News Asia Pacific (720p)[质量:60],https://cdn4.skygo.mn/live/disk1/BBC_News/HLSv3-FTA/BBC_News.m3u8
BBC America East[质量:50],http://fl2.moveonjoy.com/BBC_AMERICA/index.m3u8
NHK World News (Spanish Subs) (720p)[质量:30],https://cdn.nhkworld.jp/www11/nhkworld-tv/bmcc-live/es/playlist.m3u8

北京,#genre#
BTV (720p)[质量:60],https://b1news.beritasatumedia.com/Beritasatu/B1News_manifest.m3u8

上海,#genre#
ASTV News 1 (720p) [Not 24/7][质量:80],http://news1.live14.com/stream/news1.m3u8

湖北,#genre#
武汉经济 (360p)[质量:90],http://stream.appwuhan.com/4tzb/sd/live.m3u8
武汉文体 (480p)[质量:90],http://stream.appwuhan.com/5tzb/sd/live.m3u8
武汉外语 (576p)[质量:90],http://stream.appwuhan.com/6tzb/sd/live.m3u8

江苏,#genre#
南京信息 (720p)[质量:90],https://live.nbs.cn/channels/njtv/xxpd/m3u8:500k/live.m3u8
南京十八 (720p)[质量:90],https://live.nbs.cn/channels/njtv/sbpd/m3u8:500k/live.m3u8

福建,#genre#
福州广播电视台新闻综合频道 (FZTV-1) (1080p)[质量:90],http://live.zohi.tv/video/s10001-fztv-1/index.m3u8
福州电视台少儿频道 (FZTV-少儿) (1080p)[质量:60],http://live.zohi.tv/video/s10001-fztv-4/index.m3u8
福州广播电视台都市生活频道 (FZTV-3) (1080p)[质量:60],http://live.zohi.tv/video/s10001-fztv-3/index.m3u8

其他,#genre#
5AAB TV (720p) [Not 24/7][质量:100],http://158.69.124.9:1935/5aabtv/5aabtv/playlist.m3u8
3 Tamil TV (720p) [Not 24/7][质量:100],https://6n3yogbnd9ok-hls-live.5centscdn.com/threetamil/d0dbe915091d400bd8ee7f27f0791303.sdp/index.m3u8
Abood TV (240p) [Not 24/7][质量:100],https://goliveafrica.media:9998/live/644db46d1b776/index.m3u8
Aguacate TV (1080p)[质量:100],https://streamtv.intervenhosting.net:3040/hybrid/play.m3u8
AMC Absolute Reality[质量:100],https://amc-absolutereality-1-us.plex.wurl.tv/playlist.m3u8
Apna Punjab TV (720p)[质量:100],https://plus.gigabitcdn.net/live-stream/apna-punjab-H3sE/playlist.m3u8
ANT1 Cyprus (1080p)[质量:100],http://l2.cloudskep.com/ant1cm2/abr/playlist.m3u8
Canal 9 Ixchiguán (720p)[质量:100],https://cdn.streamhispanatv.net:3859/live/ixchiguanlive.m3u8
CG Entertainment[质量:100],https://cgentertainment-cgtv-1-it.samsung.wurl.tv/playlist.m3u8
Chroma TV (480p)[质量:100],https://5c483b9d1019c.streamlock.net/8054/8054/playlist.m3u8
COCO TV (720p)[质量:100],https://cloudflare.streamgato.us:3253/live/canalcocotvlive.m3u8
Desi Channel (720p)[质量:100],https://live.wmncdn.net/desichannel/7e2dd0aed46b70a5c77f4affdb702e4b.sdp/playlist.m3u8
El 75 (720p)[质量:100],https://television.essastream.com:3502/live/bebetotelevisionlive.m3u8
Entertainment Tonight (720p)[质量:100],https://cbsta49f-cbsta49f-ms.global.ssl.fastly.net/amagi7b98-AmagiMixible/master/amagi7b98-AmagiMixible.m3u8
Fidele TV (480p)[质量:100],https://59d39900ebfb8.streamlock.net/FIDELETV/FIDELETV/playlist.m3u8
Fort TV (480p)[质量:100],http://fort.co-works.org:8080/hls/live.stream.m3u8
Galaxia TV (360p)[质量:100],https://streaming.grupomediosdelnorte.com:19360/galaxiateve/galaxiateve.m3u8
Geo Kahani (360p)[质量:100],https://jk3lz82elw79-hls-live.5centscdn.com/harPalGeo/955ad3298db330b5ee880c2c9e6f23a0.sdp/playlist.m3u8
Guaro TV (1080p)[质量:100],https://streamtv.intervenhosting.net:3061/hybrid/play.m3u8
Heartland[质量:100],https://d76toswjmqqzm.cloudfront.net/playlist.m3u8
HTV Live (1080p)[质量:100],https://vdo1.streamgato.us:3833/live/canalhtvlivelive.m3u8
interTV (1080p)[质量:100],https://streamtv.intervenhosting.net:3175/hybrid/play.m3u8
ITV Deportes[质量:100],https://thm-it-roku.otteravision.com/thm/it/it.m3u8
K-Content by CJ ENM[质量:100],http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/6176ff3ba00900000763710f/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=6c2966a4-30d3-11ef-9cf5-e9ddff8ff496&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=783bd025-4cbc-40c4-a742-b70d428fd035
Kingsview TV (1080p)[质量:100],https://j78dp6reyq5r-hls-live.5centscdn.com/4896_push_1963_001/00cb1f2e4ff89048f2e77e26940c00e6.sdp/playlist.m3u8
KBS Story (480p)[质量:100],http://mytv.dothome.co.kr/ch/catv/4.php
KVVB-TV 33 Victor Valley (1080p) [Not 24/7][质量:100],https://2-fss-2.streamhoster.com/pl_138/amlst:201950-1309230/playlist.m3u8
Kurdsat HD[质量:100],https://kurdsat.akamaized.net/hls/stream_0.m3u8
LatacungaTV (720p)[质量:100],https://ssh101.bozztv.com/ssh101/streamlatacungatv/playlist.m3u8
Magna Vision (1080p)[质量:100],https://j78dpa3edq5r-hls-live.5centscdn.com/abr/0864028584026e6ad9cdf922473177a4/playlist.m3u8
MCN6 (1080p) [Not 24/7][质量:100],https://d18fcxaqfnwjhj.cloudfront.net/CDN_Ingest/MCN6_MAIN.smil/Playlist.m3u8
MetaVersus CR (480p)[质量:100],https://vivo.solumedia.com:19360/metaversus/metaversus.m3u8
MTV2 (720p)[质量:100],https://fl5.moveonjoy.com/MTV_2/index.m3u8
Ning TV (720p)[质量:100],https://livefta.malimarcdn.com/ftaedge00/ningtv.sdp/playlist.m3u8
People are Awesome[质量:100],https://jukin-peopleareawesome-2-ca.samsung.wurl.tv/playlist.m3u8
Play Television (720p)[质量:100],https://vivo.solumedia.com:19360/playtv/playtv.m3u8
Pula TV (720p)[质量:100],https://vdo2.streamgato.us:3239/live/pulatvlive.m3u8
RCN Mas[质量:100],https://rcntv-rcnmas-1-us.roku.wurl.tv/playlist.m3u8
Revry LatinX[质量:100],https://linear-142.frequency.stream/mt/brightcove/142/hls/master/playlist.m3u8
RightNow TV (720p)[质量:100],https://a-cdn.klowdtv.com/live2/rightnowtv_720p/playlist.m3u8
RTS 2 (720p)[质量:100],http://69.64.57.208/rts2/playlist.m3u8
Sada TV (1080p) [Not 24/7][质量:100],http://cdn12.henico.net:8080/live/sadatv/index.m3u8
SAS TV (720p)[质量:100],https://cdn.streamhispanatv.net:3390/live/sastvgtlive.m3u8
