# 更新时间：2024-12-24 15:28:21

央视高清,#genre#
CCTV 16 奥林匹克·4K「IPV6」[1920*1080],http://[2409:8087:5e08:24::11]:6610/000000001000/5000000008000023254/index.m3u8?channel-id=bestzb&Contentid=5000000008000023254&livemode=1&stbId=YanG-1989
CCTV1 综合「IPV6」[1920*1080],http://[2409:8087:5e08:24::11]:6610/000000001000/1000000001000018602/index.m3u8?channel-id=ystenlive&Contentid=1000000001000018602&livemode=1&stbId=YanG-1989
CCTV2 财经「IPV6」[1920*1080],http://[2409:8087:5e08:24::11]:6610/000000001000/5000000011000031101/index.m3u8?channel-id=bestzb&Contentid=5000000011000031101&livemode=1&stbId=YanG-1989
CCTV3 综艺「IPV6」[1920*1080],http://[2409:8087:5e08:24::11]:6610/000000001000/5000000004000008883/index.m3u8?channel-id=bestzb&Contentid=5000000004000008883&livemode=1&stbId=YanG-1989
CCTV4 中文国际「IPV6」[1920*1080],http://[2409:8087:5e08:24::11]:6610/000000001000/5000000011000031102/index.m3u8?channel-id=bestzb&Contentid=5000000011000031102&livemode=1&stbId=YanG-1989
CCTV5 体育「IPV6」[1920*1080],http://[2409:8087:5e08:24::11]:6610/000000001000/5000000004000008885/index.m3u8?channel-id=bestzb&Contentid=5000000004000008885&livemode=1&stbId=YanG-1989
CCTV5+ 体育赛事「IPV6」[1920*1080],http://[2409:8087:5e08:24::11]:6610/000000001000/5000000011000031127/index.m3u8?channel-id=bestzb&Contentid=5000000011000031127&livemode=1&stbId=YanG-1989
CCTV6 电影「IPV6」[1920*1080],http://[2409:8087:5e08:24::11]:6610/000000001000/5000000004000008886/index.m3u8?channel-id=bestzb&Contentid=5000000004000008886&livemode=1&stbId=YanG-1989
CCTV7 国防军事「IPV6」[1920*1080],http://[2409:8087:5e08:24::11]:6610/000000001000/5000000011000031104/index.m3u8?channel-id=bestzb&Contentid=5000000011000031104&livemode=1&stbId=YanG-1989
CCTV8 电视剧「IPV6」[1920*1080],http://[2409:8087:5e08:24::11]:6610/000000001000/5000000004000008888/index.m3u8?channel-id=bestzb&Contentid=5000000004000008888&livemode=1&stbId=YanG-1989
CCTV9 纪录「IPV6」[1920*1080],http://[2409:8087:5e08:24::11]:6610/000000001000/6000000001000032162/index.m3u8?channel-id=wasusyt&Contentid=6000000001000032162&livemode=1&stbId=YanG-1989
CCTV 10 科教「IPV6」[1920*1080],http://[2409:8087:5e08:24::11]:6610/000000001000/5000000004000012827/index.m3u8?channel-id=bestzb&Contentid=5000000004000012827&livemode=1&stbId=YanG-1989
CCTV 11 戏曲「IPV6」[1920*1080],http://[2409:8087:5e08:24::11]:6610/000000001000/5000000011000031106/index.m3u8?channel-id=bestzb&Contentid=5000000011000031106&livemode=1&stbId=YanG-1989
CCTV 12 社会与法「IPV6」[1920*1080],http://[2409:8087:5e08:24::11]:6610/000000001000/5000000011000031107/index.m3u8?channel-id=bestzb&Contentid=5000000011000031107&livemode=1&stbId=YanG-1989
CCTV 13 新闻「IPV6」[1920*1080],http://[2409:8087:5e08:24::11]:6610/000000001000/5000000011000031108/index.m3u8?channel-id=bestzb&Contentid=5000000011000031108&livemode=1&stbId=YanG-1989
CCTV 14 少儿「IPV6」[1920*1080],http://[2409:8087:5e08:24::11]:6610/000000001000/5000000004000006673/index.m3u8?channel-id=bestzb&Contentid=5000000004000006673&livemode=1&stbId=YanG-1989
CCTV 15 音乐「IPV6」[1920*1080],http://[2409:8087:5e08:24::11]:6610/000000001000/5000000011000031109/index.m3u8?channel-id=bestzb&Contentid=5000000011000031109&livemode=1&stbId=YanG-1989
CCTV 16 奥林匹克「IPV6」[1920*1080],http://[2409:8087:5e08:24::11]:6610/000000001000/5000000008000023253/index.m3u8?channel-id=bestzb&Contentid=5000000008000023253&livemode=1&stbId=YanG-1989
CCTV 17 农村农业「IPV6」[1920*1080],http://[2409:8087:5e08:24::11]:6610/000000001000/1000000005000056836/index.m3u8?channel-id=ystenlive&Contentid=1000000005000056836&livemode=1&stbId=YanG-1989
CCTV 1 综合[1920*1080],https://tv.iill.top/migu/cctv1
CCTV 2 财经[1920*1080],https://tv.iill.top/migu/cctv2
CCTV 3 综艺[1920*1080],https://tv.iill.top/migu/cctv3
CCTV 4 中文国际[1920*1080],https://tv.iill.top/migu/cctv4
CCTV 4 中文国际·美洲[1920*1080],https://tv.iill.top/migu/cctv4m
CCTV 4 中文国际·欧洲[1920*1080],https://tv.iill.top/migu/cctv4o
CCTV 5 体育[1920*1080],https://tv.iill.top/migu/cctv5
CCTV 5+ 体育赛事[1920*1080],https://tv.iill.top/migu/cctv5p
CCTV 6 电影[1920*1080],https://tv.iill.top/migu/cctv6
CCTV 7 国防军事[1920*1080],https://tv.iill.top/migu/cctv7
CCTV 8 电视剧[1920*1080],https://tv.iill.top/migu/cctv8
CCTV 9 纪录[1920*1080],https://tv.iill.top/migu/cctv9
CCTV 10 科教[1920*1080],https://tv.iill.top/migu/cctv10
CCTV 11 戏曲[1920*1080],https://tv.iill.top/migu/cctv11
CCTV 12 社会与法[1920*1080],https://tv.iill.top/migu/cctv12
CCTV 13 新闻[1920*1080],https://tv.iill.top/migu/cctv13
CCTV 14 少儿[1920*1080],https://tv.iill.top/migu/cctv14
CCTV 15 音乐[1920*1080],https://tv.iill.top/migu/cctv15
CCTV 17 农村农业[1920*1080],https://tv.iill.top/migu/cctv17
CCTV6 电影[1920*1080],http://dns.yiandrive.com:15907/1905/cctv6
「电视伴音」CCTV1[1920*1080],https://piccpndali.v.myalicdn.com/audio/cctv1_2.m3u8
「电视伴音」CCTV2[1920*1080],https://piccpndali.v.myalicdn.com/audio/cctv2_2.m3u8
「电视伴音」CCTV3[1920*1080],https://piccpndali.v.myalicdn.com/audio/cctv3_2.m3u8
「电视伴音」CCTV4[1920*1080],https://piccpndali.v.myalicdn.com/audio/cctv4_2.m3u8
「电视伴音」CCTV5[1920*1080],https://piccpndali.v.myalicdn.com/audio/cctv5_2.m3u8
「电视伴音」CCTV5+[1920*1080],https://piccpndali.v.myalicdn.com/audio/cctv5plus_2.m3u8
「电视伴音」CCTV6[1920*1080],https://piccpndali.v.myalicdn.com/audio/cctv6_2.m3u8
「电视伴音」CCTV7[1920*1080],https://piccpndali.v.myalicdn.com/audio/cctv7_2.m3u8
「电视伴音」CCTV8[1920*1080],https://piccpndali.v.myalicdn.com/audio/cctv8_2.m3u8
「电视伴音」CCTV9[1920*1080],https://piccpndali.v.myalicdn.com/audio/cctv9_2.m3u8
「电视伴音」CCTV10[1920*1080],https://piccpndali.v.myalicdn.com/audio/cctv10_2.m3u8
「电视伴音」CCTV11[1920*1080],https://piccpndali.v.myalicdn.com/audio/cctv11_2.m3u8
「电视伴音」CCTV12[1920*1080],https://piccpndali.v.myalicdn.com/audio/cctv12_2.m3u8
「电视伴音」CCTV13[1920*1080],https://piccpndali.v.myalicdn.com/audio/cctv13_2.m3u8
「电视伴音」CCTV14[1920*1080],https://piccpndali.v.myalicdn.com/audio/cctv14_2.m3u8
「电视伴音」CCTV15[1920*1080],https://piccpndali.v.myalicdn.com/audio/cctv15_2.m3u8
「电视伴音」CCTV16[1920*1080],https://piccpndali.v.myalicdn.com/audio/cctv16_2.m3u8
「电视伴音」CCTV17[1920*1080],https://piccpndali.v.myalicdn.com/audio/cctv17_2.m3u8
「电视伴音」CCTV4欧洲[1920*1080],https://piccpndali.v.myalicdn.com/audio/cctveurope_2.m3u8
「电视伴音」CCTV4美洲[1920*1080],https://piccpndali.v.myalicdn.com/audio/cctvamerica_2.m3u8

